vial	day	female	male	mated	eggs	total_emerged	prop_eggs_emerged	failure									
353	2	lhm	val	1	20	23	1.15	0									
354	2	lhm	val	1	2	2	1	0									
357	2	lhm	val	1	11	9	0.818181818	0									
358	2	lhm	val	1	20	18	0.9	0									
361	2	lhm	val	1	15	14	0.933333333	0									
367	2	lhm	val	1	12	10	0.833333333	0									
368	2	lhm	val	1	0	0	#DIV/0!	1									
372	2	lhm	val	1	10	8	0.8	0									
373	2	lhm	val	1	10	9	0.9	0									
374	2	lhm	val	1		0	#DIV/0!	1									
375	2	lhm	val	1		0	#DIV/0!	1									
376	2	val	lhm	1	22	23	1.045454545	0									
377	2	val	lhm	1	10	8	0.8	0									
379	2	val	lhm	1	22	24	1.090909091	0									
382	2	val	lhm	1	25	31	1.24	0									
383	2	val	lhm	1	16	20	1.25	0									
385	2	val	lhm	1	12	13	1.083333333	0									
391	2	val	lhm	1	13	12	0.923076923	0									
392	2	val	lhm	1	12	12	1	0									
393	2	val	lhm	1	13	15	1.153846154	0									
394	2	val	lhm	1	11	14	1.272727273	0									
